Date,Mid Price
2001-04-06,18.269
2001-04-09,17.896
2001-04-10,17.463
2001-04-11,17.893
2001-04-12,18.263
2001-04-16,20.114
2001-04-17,19.135
2001-04-18,18.865
2001-04-19,19.466
2001-04-20,22.232
2001-04-23,21.529
2001-04-24,21.459
2001-04-25,21.683
2001-04-26,19.881
2001-04-27,19.281
2001-04-30,19.737
2001-05-02,20.095
2001-05-03,19.051
2001-05-04,18.834
2001-05-07,19.258
2001-05-08,19.078
2001-05-09,19.087
2001-05-10,18.618
2001-05-11,19.665
2001-05-14,20.17
2001-05-15,19.654
2001-05-16,19.129
2001-05-17,19.153
2001-05-18,19.265
2001-05-21,18.997
2001-05-22,19.484
2001-05-23,19.961
2001-05-24,19.072
2001-05-25,18.799
2001-05-28,18.814
2001-05-29,18.844
2001-05-30,18.832
2001-05-31,18.985
2001-06-01,19.409
2001-06-04,18.786
2001-06-05,18.429
2001-06-06,18.404
2001-06-07,18.25
2001-06-08,18.259
2001-06-11,18.432
2001-06-12,18.416
2001-06-13,18.433
2001-06-15,18.916
2001-06-18,20.648
2001-06-19,20.492
2001-06-20,20.056
2001-06-21,19.638
2001-06-22,19.268
2001-06-25,19.422
2001-06-26,20.043
2001-06-27,20.6
2001-06-28,20.726
2001-06-29,20.965
2001-07-02,20.651
2001-07-03,21.7
2001-07-04,22.799
2001-07-05,24.371
2001-07-06,23.257
2001-07-09,23.349
2001-07-10,25.539
2001-07-11,25.794
2001-07-12,26.69
2001-07-13,26.34
2001-07-16,25.134
2001-07-17,24.238
2001-07-18,24.604
2001-07-19,24.236
2001-07-20,23.649
2001-07-23,22.786
2001-07-24,23.587
2001-07-25,23.078
2001-07-26,23.184
2001-07-27,23.292
2001-07-30,23.044
2001-07-31,23.465
2001-08-01,23.552
2001-08-02,23.378
2001-08-03,23.575
2001-08-06,22.681
2001-08-07,22.729
2001-08-08,21.918
2001-08-09,22.257
2001-08-10,22.163
2001-08-13,22.411
2001-08-14,22.937
2001-08-15,22.407
2001-08-16,22.016
2001-08-17,22.287
2001-08-20,22.058
2001-08-21,22.578
2001-08-22,21.496
2001-08-23,21.622
2001-08-24,21.411
2001-08-27,21.566
2001-08-28,21.301
2001-08-29,21.01
2001-08-30,21.184
2001-08-31,21.148
2001-09-03,20.828
2001-09-04,20.38
2001-09-05,20.535
2001-09-06,20.745
2001-09-10,20.895
2001-09-11,21.436
2001-09-12,21.562
2001-09-13,22.649
2001-09-14,22.988
2001-09-17,21.937
2001-09-18,21.541
2001-09-19,21.593
2001-09-20,21.779
2001-09-21,22.692
2001-09-24,22.837
2001-09-25,22.861
2001-09-26,22.938
2001-09-27,22.008
2001-09-28,21.738
2001-10-01,22.066
2001-10-02,22.261
2001-10-03,22.771
2001-10-04,23.121
2001-10-05,23.084
2001-10-08,23.032
2001-10-09,22.831
2001-10-10,22.49
2001-10-11,22.595
2001-10-15,22.102
2001-10-16,21.752
2001-10-17,21.338
2001-10-18,21.815
2001-10-19,21.419
2001-10-22,21.306
2001-10-23,21.278
2001-10-24,21.568
2001-10-25,21.38
2001-10-26,21.529
2001-10-29,21.695
2001-10-30,21.452
2001-10-31,21.362
2001-11-01,21.116
2001-11-05,20.396
2001-11-06,20.139
2001-11-07,19.55
2001-11-08,19.586
2001-11-09,19.775
2001-11-12,19.917
2001-11-13,19.8
2001-11-14,19.766
2001-11-16,19.623
2001-11-19,19.264
2001-11-20,19.538
2001-11-21,19.32
2001-11-22,19.44
2001-11-23,19.325
2001-11-26,19.516
2001-11-27,19.742
2001-11-28,20.07
2001-11-29,20.601
2001-11-30,20.381
2001-12-03,20.228
2001-12-04,20.098
2001-12-05,20.082
2001-12-06,20.02
2001-12-07,19.924
2001-12-10,19.662
2001-12-11,19.719
2001-12-12,19.739
2001-12-13,19.708
2001-12-14,19.808
2001-12-17,19.801
2001-12-18,19.594
2001-12-19,19.455
2001-12-20,19.859
2001-12-21,19.624
2001-12-24,19.629
2001-12-26,19.315
2001-12-27,19.337
2001-12-28,19.265
2001-12-31,19.273
2002-01-02,19.118
2002-01-03,18.882
2002-01-04,19.01
2002-01-07,18.906
2002-01-08,19.005
2002-01-09,19.058
2002-01-10,19.175
2002-01-11,19.203
2002-01-14,19.374
2002-01-15,19.396
2002-01-16,19.379
2002-01-17,19.212
2002-01-18,19.09
2002-01-21,19.078
2002-01-22,19.089
2002-01-23,19.035
2002-01-24,19.189
2002-01-25,19.201
2002-01-28,19.249
2002-01-29,19.262
2002-01-30,19.299
2002-01-31,19.307
2002-02-01,19.289
2002-02-04,19.357
2002-02-05,19.312
2002-02-06,19.198
2002-02-07,19.197
2002-02-08,19.209
2002-02-13,19.062
2002-02-14,19.064
2002-02-15,19.047
2002-02-18,19.046
2002-02-19,19.06
2002-02-20,19.013
2002-02-21,18.842
2002-02-22,18.776
2002-02-25,18.764
2002-02-26,18.761
2002-02-27,18.646
2002-02-28,18.691
2002-03-01,18.697
2002-03-04,18.733
2002-03-05,18.673
2002-03-06,18.691
2002-03-07,18.702
2002-03-08,18.623
2002-03-11,18.563
2002-03-12,18.475
2002-03-13,18.45
2002-03-14,18.499
2002-03-15,18.434
2002-03-18,18.445
2002-03-19,18.407
2002-03-20,18.259
2002-03-21,18.546
2002-03-22,18.565
2002-03-25,18.564
2002-03-26,18.555
2002-03-27,18.498
2002-03-28,18.49
2002-04-01,18.543
2002-04-02,18.518
2002-04-03,18.486
2002-04-04,18.495
2002-04-05,18.491
2002-04-08,18.49
2002-04-09,18.493
2002-04-10,18.48
2002-04-11,18.453
2002-04-12,18.402
2002-04-15,18.467
2002-04-16,18.451
2002-04-17,18.437
2002-04-18,18.659
2002-04-19,18.656
2002-04-22,18.761
2002-04-23,18.786
2002-04-24,18.733
2002-04-25,18.77
2002-04-26,18.86
2002-04-29,18.824
2002-04-30,18.688
2002-05-02,18.716
2002-05-03,18.695
2002-05-06,18.633
2002-05-07,18.582
2002-05-08,18.537
2002-05-09,18.561
2002-05-10,18.524
2002-05-13,18.583
2002-05-14,18.562
2002-05-15,18.562
2002-05-16,18.441
2002-05-17,18.447
2002-05-20,18.464
2002-05-21,18.463
2002-05-22,18.522
2002-05-23,18.483
2002-05-24,18.437
2002-05-27,18.436
2002-05-28,18.393
2002-05-29,18.337
2002-05-31,18.288
2002-06-03,18.219
2002-06-04,18.237
2002-06-05,18.196
2002-06-06,18.671
2002-06-07,18.718
2002-06-10,18.483
2002-06-11,19.106
2002-06-12,21.256
2002-06-13,20.521
2002-06-14,20.53
2002-06-17,19.639
2002-06-18,20.013
2002-06-19,20.063
2002-06-20,20.595
2002-06-21,22.708
2002-06-24,22.172
2002-06-25,21.569
2002-06-26,21.094
2002-06-27,20.156
2002-06-28,20.002
2002-07-01,21.264
2002-07-02,20.848
2002-07-03,20.769
2002-07-04,21.039
2002-07-05,20.984
2002-07-08,20.639
2002-07-09,20.702
2002-07-10,20.628
2002-07-11,20.058
2002-07-12,19.605
2002-07-15,19.898
2002-07-16,19.869
2002-07-17,19.277
2002-07-18,19.255
2002-07-19,19.119
2002-07-22,19.366
2002-07-23,19.634
2002-07-24,19.571
2002-07-25,19.534
2002-07-26,20.462
2002-07-29,22.696
2002-07-30,23.472
2002-07-31,23.294
2002-08-01,23.519
2002-08-02,23.028
2002-08-05,23.312
2002-08-06,23.122
2002-08-07,22.224
2002-08-08,20.603
2002-08-09,21.912
2002-08-12,22.011
2002-08-13,21.443
2002-08-14,21.06
2002-08-15,21.307
2002-08-16,21.002
2002-08-19,20.901
2002-08-20,20.703
2002-08-21,20.591
2002-08-22,20.714
2002-08-23,20.497
2002-08-26,20.16
2002-08-27,20.223
2002-08-28,19.853
2002-08-29,19.564
2002-08-30,19.476
2002-09-02,19.55
2002-09-03,19.819
2002-09-04,19.864
2002-09-05,20.254
2002-09-06,20.402
2002-09-09,19.869
2002-09-10,20.086
2002-09-11,20.001
2002-09-12,20.089
2002-09-13,20.206
2002-09-16,20.671
2002-09-17,20.726
2002-09-18,21.072
2002-09-19,21.748
2002-09-20,21.293
2002-09-23,21.975
2002-09-24,22.364
2002-09-25,22.19
2002-09-26,22.086
2002-09-27,22.54
2002-09-30,22.646
2002-10-01,21.54
2002-10-02,21.535
2002-10-03,21.769
2002-10-04,21.364
2002-10-07,21.41
